iter	Passed	Remaining
820	1357	296
821	1358	294
822	1360	292
823	1361	290
824	1362	289
825	1364	287
826	1367	286
827	1369	284
828	1370	282
829	1371	280
830	1373	279
831	1374	277
832	1375	275
833	1376	274
834	1378	272
835	1380	270
836	1382	269
837	1383	267
838	1384	265
839	1386	264
840	1387	262
841	1388	260
842	1389	258
843	1391	257
844	1392	255
845	1394	253
846	1396	252
847	1397	250
848	1399	248
849	1400	247
850	1401	245
851	1403	243
852	1404	242
853	1405	240
854	1407	238
855	1408	236
856	1410	235
857	1412	233
858	1413	232
859	1415	230
860	1416	228
861	1417	226
862	1419	225
863	1420	223
864	1421	221
865	1422	220
866	1426	218
867	1427	217
868	1429	215
869	1430	213
870	1431	212
871	1432	210
872	1434	208
873	1435	206
874	1436	205
875	1437	203
876	1440	202
877	1442	200
878	1443	198
879	1444	197
880	1446	195
881	1447	193
882	1448	191
883	1450	190
884	1451	188
885	1452	186
886	1454	185
887	1457	183
888	1458	182
889	1460	180
890	1461	178
891	1462	177
892	1464	175
893	1465	173
894	1466	172
895	1468	170
896	1470	168
897	1471	167
898	1473	165
899	1474	163
900	1475	162
901	1477	160
902	1478	158
903	1479	157
904	1480	155
905	1482	153
906	1484	152
907	1486	150
908	1487	148
909	1488	147
910	1489	145
911	1491	143
912	1493	142
913	1494	140
914	1496	138
915	1497	137
916	1499	135
917	1502	134
918	1503	132
919	1505	130
920	1506	129
921	1508	127
922	1509	125
923	1510	124
924	1511	122
925	1513	120
926	1516	119
927	1519	117
928	1522	116
929	1528	115
930	1534	113
931	1537	112
932	1539	110
933	1542	108
934	1543	107
935	1547	105
936	1548	104
937	1550	102
938	1551	100
939	1555	99
940	1557	97
941	1559	96
942	1561	94
943	1563	92
944	1565	91
945	1566	89
946	1567	87
947	1569	86
948	1570	84
949	1572	82
950	1573	81
951	1575	79
952	1580	77
953	1582	76
954	1584	74
955	1586	72
956	1587	71
957	1590	69
958	1597	68
959	1600	66
960	1601	65
961	1603	63
962	1608	61
963	1611	60
964	1613	58
965	1614	56
966	1616	55
967	1619	53
968	1627	52
969	1629	50
970	1631	48
971	1633	47
972	1634	45
973	1636	43
974	1640	42
975	1644	40
976	1646	38
977	1647	37
978	1649	35
979	1650	33
980	1652	32
981	1655	30
982	1657	28
983	1660	27
984	1662	25
985	1664	23
986	1665	21
987	1667	20
988	1669	18
989	1672	16
990	1674	15
991	1675	13
992	1677	11
993	1678	10
994	1680	8
995	1682	6
996	1684	5
997	1686	3
998	1689	1
999	1690	0
